FrameMillis,Value,EmotionRange
0,0.01362485,<0.2
1,0.014363054,<0.2
2,0.014190609,<0.2
3,0.019466916,<0.2
4,0.024927245,<0.2
5,0.016944217,<0.2
6,0.019832011,<0.2
7,0.029026134,<0.2
8,0.04748267,<0.2
9,0.03890638,<0.2
10,0.06874259,<0.2
11,0.08640503,<0.2
12,0.09346696,<0.2
13,0.03348107,<0.2
14,0.017085679,<0.2
15,0.010957524,<0.2
16,0.011293524,<0.2
17,0.009915323,<0.2
18,0.010129183,<0.2
19,0.010576811,<0.2
20,0.009149615,<0.2
21,0.010388956,<0.2
22,0.012059657,<0.2
23,0.0113748,<0.2
24,0.009062927,<0.2
25,0.011078881,<0.2
26,0.010591798,<0.2
27,0.01563774,<0.2
28,0.015241811,<0.2
29,0.01711385,<0.2
30,0.041443117,<0.2
31,0.15603961,<0.2
32,0.22312339,>=0.2
33,0.37127605,>=0.2
34,0.38328767,>=0.2
35,0.35043156,>=0.2
36,0.083707824,<0.2
37,0.022232361,<0.2
38,0.015678989,<0.2
39,0.008804097,<0.2
40,0.00970692,<0.2
41,0.01023315,<0.2
42,0.013036111,<0.2
43,0.009075733,<0.2
44,0.014518367,<0.2
45,0.019133395,<0.2
46,0.04066956,<0.2
47,0.07932463,<0.2
48,0.12032724,<0.2
49,0.06264782,<0.2
50,0.06179715,<0.2
51,0.040886283,<0.2
52,0.059014812,<0.2
53,0.022450468,<0.2
54,0.032377813,<0.2
55,0.03640872,<0.2
56,0.05897667,<0.2
57,0.028101664,<0.2
58,0.07466598,<0.2
59,0.037860572,<0.2
60,0.059315305,<0.2
61,0.153712,<0.2
62,0.1542141,<0.2
63,0.37977383,>=0.2
64,0.28360373,>=0.2
65,0.182615,<0.2
66,0.16277811,<0.2
67,0.10535236,<0.2
68,0.048806004,<0.2
69,0.023487343,<0.2
70,0.01674892,<0.2
71,0.015400765,<0.2
72,0.01740681,<0.2
73,0.077608675,<0.2
74,0.10972563,<0.2
75,0.13922545,<0.2
76,0.1389712,<0.2
77,0.15472607,<0.2
78,0.1356462,<0.2
79,0.12103579,<0.2
80,0.10130381,<0.2
81,0.04292938,<0.2
82,0.13576135,<0.2
83,0.23366486,>=0.2
84,0.105425745,<0.2
85,0.2385366,>=0.2
86,0.23800872,>=0.2
87,0.097647436,<0.2
88,0.08347614,<0.2
89,0.089108005,<0.2
90,0.095004074,<0.2
91,0.14415288,<0.2
92,0.16461712,<0.2
93,0.162052,<0.2
94,0.0577872,<0.2
95,0.0768504,<0.2
96,0.06699937,<0.2
97,0.02644842,<0.2
98,0.01680566,<0.2
99,0.055235714,<0.2
100,0.038912885,<0.2
101,0.023319377,<0.2
102,0.0431631,<0.2
103,0.037337225,<0.2
104,0.077275895,<0.2
105,0.047868866,<0.2
106,0.07618469,<0.2
107,0.06456739,<0.2
108,0.014934985,<0.2
109,0.020098144,<0.2
